Substance,ISO,Country,geo,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,FRA,France and Monaco,FRL0,Provence-Alpes-Côte d’Azur,34587.85,37658.52,35755.33,33759.01,33869.18,35216.49,36493.87,35339.84,36589.64,37039.36,36919.57,37005.76,36838.84,37305.52,37095.81,36224.68,36214.17,36212.49,36149.08,36881.84,37685.68,33676.78,34417.74,34175.35,30736.08,31729.77,32957.27,34280.22,31178.68,30639.97,27236.62,29534.97,28885.24,25541.22,23981.92
GWP_100_AR5_GHG,FRA,France and Monaco,FRM0,Corse,2139.18,2714.02,2359.78,1967.36,1913.21,2172.76,2205.73,2036.00,2433.01,2234.87,2129.63,2177.85,2126.82,2330.35,2345.92,2642.79,2506.17,2438.82,2265.58,2219.36,2144.04,2171.42,2186.63,2081.75,2339.82,2403.99,2444.89,2519.61,2228.65,2263.40,2074.97,2171.67,2187.70,2023.73,1970.40
GWP_100_AR5_GHG,FRA,France and Monaco,,,3207.69,3922.39,3919.40,4098.66,3948.89,3850.03,4061.06,4189.15,4438.30,4395.04,4557.96,4492.50,4290.87,4214.44,4289.56,4102.44,4137.48,4193.67,4127.21,4009.43,3934.83,5964.30,5970.79,5921.59,5730.05,5738.92,5846.13,5986.13,6216.21,6320.40,4251.10,5128.50,6291.94,5800.20,5953.77
GWP_100_AR5_GHG,FRO,Faroes,,,90.08,89.83,89.66,89.80,89.82,89.68,89.64,89.80,89.74,89.92,90.16,90.85,91.05,91.19,91.30,91.15,91.08,91.14,91.03,91.19,91.17,91.50,91.78,91.87,94.21,94.43,94.71,95.11,95.41,95.25,95.79,96.08,95.65,96.46,96.62
GWP_100_AR5_GHG,FSM,Micronesia,,,36.06,40.57,40.77,40.89,40.97,41.12,41.21,41.22,41.21,41.20,41.23,41.24,41.24,41.34,41.29,41.31,41.28,41.78,41.72,43.70,43.66,46.05,46.05,47.33,47.85,48.49,49.36,48.74,49.01,50.84,51.30,52.09,52.87,59.60,61.40
GWP_100_AR5_GHG,GAB,Gabon,,,20424.20,19600.57,20893.02,21550.58,21094.73,23581.47,26568.68,24535.94,28520.65,27158.21,27948.37,28014.79,27092.75,30188.27,27929.60,26277.55,22636.21,19562.39,21040.69,20463.04,21005.67,20704.05,20592.69,20360.93,20538.76,21399.15,21443.63,19695.81,18344.46,20255.25,20086.24,19169.10,19938.20,21553.32,21781.99
GWP_100_AR5_GHG,GBR,United Kingdom,,,11452.93,11704.58,11728.76,12310.27,13879.90,15186.55,14248.42,14564.38,13701.70,13110.05,12771.25,11972.66,11108.32,12836.00,12844.08,12706.09,13745.22,12625.69,10144.46,10113.36,9100.30,8666.49,9138.10,9074.58,8850.20,9649.64,9732.34,10116.96,10052.10,9913.37,6689.48,5893.36,7173.68,7516.49,7261.29
GWP_100_AR5_GHG,GBR,United Kingdom,UKC1,Tees Valley and Durham,14250.96,14171.05,13627.11,13859.26,14040.83,13808.45,13935.79,13778.25,13551.19,13405.99,12902.51,12830.02,12455.63,12522.73,12536.24,12466.18,12035.21,12160.25,11747.85,10734.43,10280.12,9186.25,10034.63,10277.40,9897.27,9860.66,9706.64,9572.79,9476.50,9435.30,8744.42,8948.60,8428.14,7959.97,7792.86
GWP_100_AR5_GHG,GBR,United Kingdom,UKC2,Northumberland and Tyne and Wear,18331.64,18647.63,17993.10,16679.27,16230.51,15909.46,15912.98,14870.42,14928.55,13928.02,14472.37,11291.55,11203.79,10960.78,11324.79,11110.74,10964.45,10818.16,9910.88,8942.44,9141.32,8631.74,9117.40,9044.77,8597.67,8325.24,6849.18,6823.33,6804.45,6606.03,6162.84,6362.86,6019.03,5785.76,5722.01
GWP_100_AR5_GHG,GBR,United Kingdom,UKD1,Cumbria,7553.02,7636.83,7731.54,7701.38,7680.21,8247.65,8405.36,8331.35,8137.87,7966.97,7781.89,7687.94,7556.01,7543.73,7457.67,7530.21,7299.95,7233.65,6949.72,6473.20,6656.37,6176.61,6195.85,6155.19,6120.97,6022.78,6056.52,6023.98,5952.18,5794.01,5290.54,5467.97,5346.76,5189.36,5116.32
GWP_100_AR5_GHG,GBR,United Kingdom,UKD3,Greater Manchester,12292.62,12907.65,12797.73,12896.28,12697.17,12622.09,13412.44,13034.66,12851.78,12500.59,12444.00,12629.40,12325.69,12348.34,12395.14,12197.51,11798.22,11573.59,11411.55,10729.04,11210.94,10404.30,10633.96,10686.37,10003.12,10131.88,11418.10,11323.11,11291.22,10985.15,10011.44,10530.70,9953.20,9347.07,9203.74
GWP_100_AR5_GHG,GBR,United Kingdom,UKD4,Lancashire,8907.92,9166.29,9041.12,9104.44,9060.45,8995.55,9493.37,9292.49,9175.71,8937.75,8897.32,8911.04,8850.28,8814.27,8815.48,8698.56,8445.91,8330.87,8033.96,7670.14,8152.85,7272.07,7181.02,7337.02,7018.52,7151.74,7188.83,7188.54,7129.96,6970.11,6428.28,6695.67,6359.30,6131.29,6030.75
GWP_100_AR5_GHG,GBR,United Kingdom,UKD6,Cheshire,23287.28,23458.33,22666.77,21189.15,20591.16,20144.64,20037.17,18782.94,18983.67,17863.11,18472.55,19492.37,19079.44,19935.76,20053.06,20345.87,20511.59,19591.55,18677.80,16500.33,16751.64,16358.95,19065.48,18400.14,16986.85,15897.75,12088.64,11975.00,11229.46,10095.95,8917.65,7920.79,7607.47,7281.20,7176.69
GWP_100_AR5_GHG,GBR,United Kingdom,UKD7,Merseyside,7144.94,7505.45,7348.18,7322.49,7217.50,7181.78,7684.49,7458.26,10073.74,9920.69,9147.86,9183.24,8948.47,8797.21,8817.30,8624.67,8286.10,8453.83,8405.96,7814.12,8152.90,6988.27,6641.01,6545.55,6264.65,6395.54,6758.60,6699.94,6644.27,6470.55,5883.49,6191.70,5878.24,5425.59,5210.08
GWP_100_AR5_GHG,GBR,United Kingdom,UKE1,East Yorkshire and Northern Lincolnshire,12915.48,12999.50,13783.88,15415.93,16577.98,15824.99,19114.52,19561.92,18479.65,18033.24,19269.70,18960.16,18965.88,18576.78,19898.67,19724.89,18494.71,19320.19,19676.21,18861.87,19265.83,16252.56,14159.93,13529.08,13315.50,13015.46,15144.97,14829.24,14523.43,14231.28,12615.37,13153.93,13017.21,12300.27,11441.01
GWP_100_AR5_GHG,GBR,United Kingdom,UKE2,North Yorkshire,54955.83,56837.87,53711.30,49792.39,49726.72,46518.23,44182.29,42485.90,42812.04,39708.25,40079.14,42773.65,40105.34,42926.52,43300.03,42008.70,43776.82,40754.31,37360.94,31831.65,33396.19,32398.72,40162.34,40140.71,34661.24,29041.13,20762.77,19779.32,18777.87,14816.03,14288.74,15316.25,14295.61,13662.32,12083.00
