,geo,region_name,Country,EU Region,GDP per Capita,GDP per Capita (PPS),Unemployment %,Employment in Hi-tech Sectors %,Life Expectancy,Doctors per 100K,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,Land Covered by Buildings and Roads %,Land Covered by Crops %,pc_1,pc_2,Cluster
131,HR02,Panonska Hrvatska,HR,Central and Eastern Europe,13900.00,53.00,10.10,1.90,77.30,351.60,208.50,313.82,82.00,17.10,43.60,31.30,78.29,2.40,22.50,-2.87,10.20,Cluster 3
132,HR03,Jadranska Hrvatska,HR,Central and Eastern Europe,19200.00,73.00,6.00,2.80,79.30,377.03,189.53,299.09,98.00,28.80,53.20,18.90,78.80,2.70,4.30,-3.43,9.13,Cluster 3
133,HR05,Grad Zagreb,HR,Central and Eastern Europe,34500.00,131.00,3.80,11.00,79.50,667.21,124.50,303.78,23.00,48.90,71.00,11.90,88.16,16.70,9.40,2.42,-16.75,Cluster 0
134,HR06,Sjeverna Hrvatska,HR,Central and Eastern Europe,17300.00,66.00,4.40,4.20,78.10,244.59,171.43,304.71,58.00,22.30,117.00,18.60,76.37,5.10,22.60,-5.71,7.65,Cluster 3
135,ITC1,Piemonte,IT,Southern Europe,37400.00,101.00,6.20,4.40,83.20,488.75,63.57,225.78,42.00,20.90,169.00,13.80,86.16,5.60,25.10,0.71,-2.32,Cluster 1
136,ITC2,Valle d’Aosta/Vallée d’Aoste,IT,Southern Europe,47200.00,128.00,4.00,4.76,83.90,471.53,62.62,212.41,41.00,20.80,37.90,13.80,85.47,2.30,0.20,3.19,-4.80,Cluster 0
137,ITC3,Liguria,IT,Southern Europe,38800.00,105.00,6.10,3.50,83.50,569.61,64.48,220.89,36.00,23.50,278.90,17.70,86.76,7.10,4.90,2.28,-3.42,Cluster 0
138,ITC4,Lombardia,IT,Southern Europe,49100.00,133.00,4.00,6.20,84.00,528.67,64.50,226.14,38.00,23.50,433.60,12.70,88.05,9.60,28.80,0.03,-3.25,Cluster 0
139,ITF1,Abruzzo,IT,Southern Europe,31100.00,84.00,8.10,3.10,83.10,556.76,84.16,203.03,57.00,22.20,117.60,28.60,85.79,5.10,21.10,7.91,8.27,Cluster 1
140,ITF2,Molise,IT,Southern Europe,27200.00,73.00,9.60,1.60,82.70,514.61,93.64,204.44,55.00,21.90,65.20,24.80,82.43,3.40,30.90,8.21,8.18,Cluster 1
141,ITF3,Campania,IT,Southern Europe,23700.00,64.00,17.40,3.50,81.50,486.85,110.44,235.85,39.00,17.80,410.80,44.40,76.54,11.10,32.40,11.50,12.43,Cluster 1
142,ITF4,Puglia,IT,Southern Europe,23600.00,64.00,11.60,2.00,83.10,477.38,74.12,210.85,60.00,17.50,202.10,32.20,81.09,6.70,55.30,7.11,9.88,Cluster 1
143,ITF5,Basilicata,IT,Southern Europe,27700.00,75.00,7.50,1.70,82.80,387.74,78.34,194.37,51.00,19.70,53.40,27.30,77.40,3.80,19.20,8.40,6.59,Cluster 0
144,ITF6,Calabria,IT,Southern Europe,21200.00,57.00,15.90,2.90,82.10,446.87,80.85,202.68,59.00,19.00,121.40,48.60,74.07,4.60,24.10,12.03,11.79,Cluster 1
145,ITG1,Sicilia,IT,Southern Europe,22300.00,60.00,15.80,2.60,81.70,546.54,74.10,214.80,50.00,16.80,187.00,41.40,78.25,6.50,32.50,11.21,11.67,Cluster 1
146,ITG2,Sardegna,IT,Southern Europe,26600.00,72.00,10.10,2.90,83.00,605.67,53.98,231.46,70.00,18.60,65.90,32.90,81.85,4.30,13.80,9.22,8.99,Cluster 1
147,ITH1,Provincia Autonoma di Bolzano/Bozen,IT,Southern Europe,61500.00,166.00,2.00,1.70,84.60,437.26,54.88,200.88,65.00,18.90,72.70,5.80,86.14,2.20,4.10,3.95,-4.11,Cluster 0
148,ITH2,Provincia Autonoma di Trento,IT,Southern Europe,46800.00,127.00,3.80,4.10,84.80,412.07,63.65,200.26,66.00,23.50,88.40,10.60,87.76,2.60,4.80,3.53,-4.33,Cluster 0
149,ITH3,Veneto,IT,Southern Europe,40700.00,110.00,4.20,3.20,84.20,485.89,62.97,204.51,64.00,20.50,279.60,14.10,86.91,10.50,38.20,0.82,-0.51,Cluster 1
150,ITH4,Friuli-Venezia Giulia,IT,Southern Europe,37700.00,102.00,4.60,3.40,83.80,552.82,69.82,221.05,47.00,22.00,157.80,14.00,86.38,6.40,24.00,1.14,-2.12,Cluster 1
151,ITH5,Emilia-Romagna,IT,Southern Europe,43700.00,118.00,5.00,3.40,84.00,606.42,59.06,213.15,63.00,23.70,200.70,7.40,88.61,7.60,42.40,0.30,-0.90,Cluster 1
152,ITI1,Toscana,IT,Southern Europe,38100.00,103.00,5.30,3.60,84.20,590.51,51.08,214.00,55.00,22.40,160.60,13.20,87.62,5.50,23.00,1.55,-1.95,Cluster 1
153,ITI2,Umbria,IT,Southern Europe,31400.00,85.00,6.00,3.60,83.90,577.37,66.47,208.80,53.00,23.80,102.90,13.00,86.49,4.80,26.60,1.61,-1.42,Cluster 1
154,ITI3,Marche,IT,Southern Europe,33300.00,90.00,5.20,2.40,84.30,495.38,73.09,207.02,60.00,23.20,159.10,13.60,84.49,6.30,36.70,1.33,-0.40,Cluster 1
155,ITI4,Lazio,IT,Southern Europe,42200.00,114.00,7.20,8.30,83.00,642.77,79.94,226.82,61.00,28.40,337.20,26.30,87.96,7.40,27.40,13.30,-3.23,Cluster 1
156,CY00,Κύπρος (Kypros),CY,Southern Europe,33900.00,97.00,5.80,6.10,83.00,406.40,70.04,194.38,35.00,50.70,104.00,16.74,90.77,8.20,31.00,10.26,-5.26,Cluster 0
157,LV00,Latvija,LV,Northern Europe,21000.00,70.00,6.50,5.20,75.60,367.23,338.89,280.42,74.00,39.20,30.20,22.12,87.44,1.90,16.70,-11.54,10.24,Cluster 3
158,LT01,Sostinės regionas,LT,Northern Europe,39400.00,131.00,4.90,9.50,78.20,602.45,360.67,246.91,40.00,62.00,91.10,18.10,88.52,2.70,19.90,3.70,-17.63,Cluster 0
159,LT02,Vidurio ir vakarų Lietuvos regionas ,LT,Northern Europe,20100.00,67.00,7.80,2.70,77.10,401.57,484.32,262.83,61.00,39.40,37.80,27.00,81.02,2.10,34.40,-10.18,10.32,Cluster 3
160,LU00,Luxembourg,LU,Western Europe,123000.00,248.00,5.20,5.90,83.10,480.23,50.25,196.83,39.00,51.90,257.70,23.98,93.13,9.20,20.20,2.63,-13.43,Cluster 0
161,HU11,Budapest,HU,Central and Eastern Europe,44700.00,164.00,2.30,12.20,78.80,613.96,313.21,291.88,26.00,56.20,3291.40,12.00,95.40,37.50,7.20,-0.99,-17.34,Cluster 2
162,HU12,Pest,HU,Central and Eastern Europe,17600.00,65.00,3.20,8.50,77.40,276.55,334.48,305.73,48.00,33.30,211.90,17.40,90.79,6.90,32.70,-10.94,5.82,Cluster 3
163,HU21,Közép-Dunántúl,HU,Central and Eastern Europe,18000.00,66.00,2.20,5.40,76.70,248.03,336.34,317.22,50.00,23.00,99.00,13.00,89.10,4.90,38.60,-11.13,6.66,Cluster 3
164,HU22,Nyugat-Dunántúl,HU,Central and Eastern Europe,18200.00,67.00,2.70,4.10,77.40,296.97,301.83,311.00,58.00,22.90,87.80,13.90,87.49,3.70,43.70,-10.68,7.13,Cluster 3
165,HU23,Dél-Dunántúl,HU,Central and Eastern Europe,13500.00,50.00,6.00,2.80,76.60,380.22,343.09,334.99,59.00,22.30,62.20,27.10,86.26,2.90,38.00,-11.75,8.37,Cluster 3
166,HU31,Észak-Magyarország,HU,Central and Eastern Europe,13000.00,48.00,6.40,4.70,74.90,233.52,438.27,327.11,46.00,20.40,81.90,29.30,85.67,3.00,32.10,-12.63,8.21,Cluster 3
167,HU32,Észak-Alföld,HU,Central and Eastern Europe,13400.00,49.00,6.70,4.50,75.70,348.13,386.31,329.51,52.00,21.60,80.50,25.70,82.94,4.00,50.90,-11.89,7.87,Cluster 3
168,HU33,Dél-Alföld,HU,Central and Eastern Europe,14600.00,54.00,4.60,2.40,76.20,367.79,377.54,304.57,68.00,22.20,66.00,22.80,85.51,3.30,49.10,-11.01,8.33,Cluster 3
169,MT00,Malta,MT,Southern Europe,37700.00,109.00,3.50,6.50,83.10,490.21,134.73,201.62,28.00,33.20,1766.00,16.30,90.40,25.90,24.10,-3.58,-14.07,Cluster 0
170,NL11,Groningen,NL,Western Europe,53900.00,120.00,4.20,4.60,80.70,557.53,55.27,273.56,60.00,43.90,259.90,20.40,94.76,10.50,37.60,-6.90,-7.22,Cluster 0
171,NL12,Friesland (NL),NL,Western Europe,43200.00,96.00,4.00,2.60,81.80,243.97,47.64,253.33,57.00,37.40,200.10,16.20,95.30,6.40,13.50,-8.35,-10.73,Cluster 0
172,NL13,Drenthe,NL,Western Europe,41600.00,93.00,3.30,4.00,81.50,309.88,54.73,263.33,61.00,35.40,188.40,14.20,97.78,7.60,26.00,-8.15,-10.24,Cluster 0
173,NL21,Overijssel,NL,Western Europe,50300.00,112.00,2.90,5.10,81.60,291.23,48.21,263.36,38.00,39.40,353.00,14.00,97.26,10.10,17.80,-7.26,-10.46,Cluster 0
174,NL22,Gelderland,NL,Western Europe,49400.00,110.00,3.30,4.70,82.00,394.00,50.35,253.04,46.00,41.80,428.30,14.50,97.41,12.40,15.30,-6.85,-10.43,Cluster 0
175,NL23,Flevoland,NL,Western Europe,46300.00,103.00,4.30,6.20,81.90,125.29,53.35,253.92,24.00,37.90,312.00,15.90,98.96,6.50,31.90,-8.88,-8.98,Cluster 0
176,NL32,Noord-Holland,NL,Western Europe,77300.00,172.00,3.80,7.20,82.00,489.08,46.32,249.98,29.00,50.70,1079.20,15.80,98.09,16.60,14.80,-0.20,-13.88,Cluster 0
177,NL34,Zeeland,NL,Western Europe,50100.00,112.00,2.10,2.50,82.20,168.63,47.06,245.64,49.00,29.80,217.10,15.40,97.83,10.80,46.50,-9.85,-8.78,Cluster 0
178,NL41,Noord-Brabant,NL,Western Europe,60600.00,135.00,3.20,5.30,81.70,278.70,45.49,253.93,45.00,42.60,533.40,14.10,97.96,16.00,26.60,-6.07,-10.65,Cluster 0
179,NL42,Limburg (NL),NL,Western Europe,49000.00,109.00,3.40,3.20,81.50,377.87,49.00,251.72,50.00,36.90,524.30,16.30,97.66,16.30,29.30,-6.65,-9.73,Cluster 0
180,AT11,Burgenland,AT,Western Europe,37500.00,87.00,5.20,3.80,82.10,465.52,176.07,221.87,70.00,33.20,79.70,12.30,79.28,5.60,39.10,-0.85,1.36,Cluster 0
181,AT12,Niederösterreich,AT,Western Europe,43300.00,100.00,4.30,4.90,81.50,491.74,147.30,232.89,58.00,36.00,91.00,13.20,82.60,4.50,34.60,-1.21,0.81,Cluster 0
182,AT13,Wien,AT,Western Europe,60200.00,139.00,9.60,8.20,81.00,705.34,140.98,235.80,6.00,46.30,5035.20,29.50,90.40,28.00,13.70,-2.48,-17.59,Cluster 2
183,AT21,Kärnten,AT,Western Europe,49700.00,115.00,4.50,5.60,81.90,513.73,127.02,218.92,53.00,33.80,60.80,17.20,79.06,5.50,6.10,1.59,-5.44,Cluster 0
184,AT22,Steiermark,AT,Western Europe,48300.00,111.00,4.30,4.70,81.90,532.47,130.01,228.59,64.00,33.10,78.00,15.20,81.73,4.10,8.60,1.53,-5.35,Cluster 0
185,AT31,Oberösterreich,AT,Western Europe,53200.00,123.00,3.50,3.70,82.10,444.39,123.66,218.21,49.00,33.10,130.30,14.60,82.63,6.90,23.20,-0.59,-4.77,Cluster 0
186,AT32,Salzburg,AT,Western Europe,63400.00,147.00,3.00,3.80,82.60,613.60,103.76,204.73,61.00,36.10,80.80,12.10,87.30,3.10,0.50,2.62,-6.51,Cluster 0
187,AT33,Tirol,AT,Western Europe,55200.00,128.00,3.10,3.30,83.10,598.47,136.30,201.18,45.00,32.20,61.90,14.30,84.27,2.70,0.70,2.82,-6.05,Cluster 0
188,AT34,Vorarlberg,AT,Western Europe,54700.00,126.00,3.40,3.30,83.00,450.78,122.06,207.06,32.00,29.40,161.30,18.60,84.69,3.60,0.70,3.56,-5.74,Cluster 0
189,PL21,Małopolskie,PL,Central and Eastern Europe,17800.00,69.00,2.30,6.30,79.50,383.50,128.95,274.53,35.00,40.50,220.80,14.80,82.86,5.10,16.60,-4.59,4.68,Cluster 0
190,PL22,Śląskie,PL,Central and Eastern Europe,20600.00,79.00,2.50,3.80,77.60,391.45,208.98,284.93,30.00,36.60,348.20,10.70,85.34,8.80,20.50,-5.63,4.97,Cluster 3
191,PL41,Wielkopolskie,PL,Central and Eastern Europe,20900.00,81.00,2.80,2.50,78.20,311.56,143.02,277.25,54.00,33.60,116.70,16.40,78.39,4.20,44.90,-7.36,8.05,Cluster 3
192,PL42,Zachodniopomorskie,PL,Central and Eastern Europe,16400.00,63.00,2.20,3.10,77.60,350.61,123.90,279.72,58.00,36.80,72.50,16.80,74.25,2.30,27.20,-6.14,8.75,Cluster 3
193,PL43,Lubuskie,PL,Central and Eastern Europe,15900.00,61.00,6.16,2.62,77.70,256.55,217.27,255.62,65.00,31.10,68.80,16.00,76.96,4.00,19.80,-5.14,8.49,Cluster 3
194,PL51,Dolnośląskie,PL,Central and Eastern Europe,21400.00,82.00,3.00,5.50,78.00,401.93,349.12,276.39,43.00,39.70,142.10,14.40,83.94,4.00,37.20,-9.48,5.97,Cluster 3
195,PL52,Opolskie,PL,Central and Eastern Europe,16100.00,62.00,2.70,2.88,78.60,269.09,244.78,267.52,55.00,30.10,95.90,11.90,74.23,2.90,49.60,-8.13,7.74,Cluster 3
196,PL61,Kujawsko-pomorskie,PL,Central and Eastern Europe,16000.00,62.00,3.80,3.60,77.60,324.61,228.01,284.02,56.00,31.10,110.20,24.10,78.10,3.30,48.40,-8.43,8.52,Cluster 3
197,PL62,Warmińsko-mazurskie,PL,Central and Eastern Europe,14100.00,54.00,2.60,1.80,77.60,276.20,137.00,265.54,59.00,31.20,56.60,24.70,72.00,2.30,26.00,-5.60,9.67,Cluster 3
198,PL63,Pomorskie,PL,Central and Eastern Europe,19100.00,73.00,1.90,6.40,78.60,377.90,282.68,284.88,47.00,42.40,129.80,16.90,83.58,4.00,30.70,-9.35,5.80,Cluster 3
199,PL71,Łódzkie,PL,Central and Eastern Europe,19000.00,73.00,3.80,4.20,77.20,436.55,141.61,261.09,71.00,33.50,128.90,16.10,78.25,4.50,41.70,-7.21,8.56,Cluster 3
200,PL72,Świętokrzyskie,PL,Central and Eastern Europe,14900.00,57.00,3.80,2.18,77.90,334.01,89.21,265.81,76.00,33.70,97.00,22.00,67.97,3.20,31.00,-5.95,10.02,Cluster 3
201,PL81,Lubelskie,PL,Central and Eastern Europe,13800.00,53.00,4.00,2.30,78.30,403.05,400.17,244.44,63.00,34.00,77.90,22.10,74.97,3.00,39.00,-9.13,10.43,Cluster 3
202,PL82,Podkarpackie,PL,Central and Eastern Europe,14300.00,55.00,4.30,2.60,79.60,302.47,162.06,221.76,46.00,32.90,110.70,17.20,75.26,5.60,16.50,-4.31,7.84,Cluster 3
203,PL84,Podlaskie,PL,Central and Eastern Europe,15400.00,59.00,2.30,2.30,78.80,435.45,257.75,246.71,70.00,36.00,54.10,27.00,70.61,2.50,28.20,-7.63,10.97,Cluster 3
204,PL91,Warszawski stołeczny,PL,Central and Eastern Europe,40200.00,155.00,1.90,10.10,79.50,733.59,143.34,256.83,31.00,62.00,544.70,8.90,92.47,9.50,15.40,2.71,-16.91,Cluster 0
205,PL92,Mazowiecki regionalny,PL,Central and Eastern Europe,18100.00,70.00,3.10,1.80,77.30,215.12,165.57,264.82,93.00,32.20,75.40,18.00,77.09,3.60,36.70,-6.71,9.62,Cluster 3
206,PT11,Norte,PT,Southern Europe,21900.00,69.00,7.00,3.50,82.90,601.35,39.16,208.96,51.00,26.30,173.50,22.00,76.69,8.00,19.10,7.29,7.34,Cluster 1
207,PT15,Algarve,PT,Southern Europe,27500.00,87.00,5.70,3.02,80.90,428.78,63.99,225.08,89.00,25.30,97.60,22.60,84.39,6.10,15.20,6.22,5.16,Cluster 0
208,PT20,Região Autónoma dos Açores,PT,Southern Europe,22300.00,71.00,6.50,3.76,79.40,404.03,78.78,297.92,75.00,16.90,104.40,31.40,80.90,6.12,22.94,-2.28,9.84,Cluster 3
209,PT30,Região Autónoma da Madeira,PT,Southern Europe,27300.00,86.00,6.00,2.54,80.40,536.53,67.23,242.90,43.00,20.90,319.60,28.10,82.58,4.40,24.18,5.98,8.09,Cluster 1
210,RO11,Nord-Vest,RO,Central and Eastern Europe,15600.00,69.00,3.00,2.70,76.50,371.47,443.23,252.02,74.00,17.20,74.60,24.70,84.25,2.70,20.00,-10.47,11.97,Cluster 3
211,RO12,Centru,RO,Central and Eastern Europe,15700.00,70.00,4.60,2.20,76.90,369.93,360.04,238.66,66.00,18.10,67.30,31.90,81.10,2.60,13.50,-9.90,12.44,Cluster 3
212,RO21,Nord-Est,RO,Central and Eastern Europe,10500.00,47.00,5.90,1.50,75.40,272.79,252.28,245.90,85.00,13.60,88.40,38.70,81.55,2.70,31.20,-7.78,14.32,Cluster 3
213,RO22,Sud-Est,RO,Central and Eastern Europe,13000.00,57.00,9.10,2.86,75.60,253.92,261.67,250.40,102.00,13.70,69.80,45.30,79.18,2.60,47.70,-7.21,15.16,Cluster 3
214,RO31,Sud-Muntenia,RO,Central and Eastern Europe,12100.00,54.00,7.80,1.40,76.00,169.87,286.34,219.03,97.00,12.60,83.80,32.90,76.11,3.40,48.90,-7.66,15.01,Cluster 3
215,RO32,Bucureşti-Ilfov,RO,Central and Eastern Europe,40800.00,181.00,2.80,9.90,77.60,803.73,268.51,285.22,40.00,39.40,1310.00,12.30,90.11,16.50,38.90,2.26,-17.94,Cluster 0
216,RO41,Sud-Vest Oltenia,RO,Central and Eastern Europe,13300.00,59.00,8.90,1.00,76.90,343.31,254.52,196.78,107.00,16.50,64.80,40.50,81.71,2.70,34.80,-6.80,14.76,Cluster 3
217,RO42,Vest,RO,Central and Eastern Europe,17300.00,77.00,2.80,5.80,76.40,517.93,288.25,250.57,76.00,19.40,52.50,27.60,84.48,2.50,24.60,-10.60,12.87,Cluster 3
218,SI03,Vzhodna Slovenija,SI,Central and Eastern Europe,24100.00,73.00,3.80,4.10,81.00,297.90,92.44,280.57,41.00,30.00,90.00,16.00,83.73,3.70,11.90,-4.02,4.58,Cluster 0
219,SI04,Zahodna Slovenija,SI,Central and Eastern Europe,36900.00,112.00,3.50,7.10,82.80,408.04,75.61,280.64,37.00,38.20,129.40,11.30,89.99,4.00,5.50,6.12,-10.17,Cluster 0
220,SK01,Bratislavský kraj,SK,Central and Eastern Europe,46100.00,151.00,2.30,10.90,80.30,676.33,303.97,263.12,33.00,51.20,361.50,20.90,87.70,6.80,30.60,3.30,-17.62,Cluster 0
221,SK02,Západné Slovensko,SK,Central and Eastern Europe,21100.00,69.00,3.60,3.60,78.20,284.36,377.38,276.70,60.00,24.20,121.60,22.12,79.26,3.90,45.30,-9.80,8.61,Cluster 3
222,SK03,Stredné Slovensko,SK,Central and Eastern Europe,18700.00,61.00,5.90,3.70,77.60,366.34,420.94,269.43,58.00,26.50,80.60,17.72,82.78,2.10,11.20,-11.29,11.10,Cluster 3
223,SK04,Východné Slovensko,SK,Central and Eastern Europe,16600.00,54.00,10.40,4.50,77.70,371.85,357.97,263.93,37.00,25.40,101.40,21.42,82.47,2.80,18.40,-11.83,11.11,Cluster 3
224,FI19,Länsi-Suomi,FI,Northern Europe,44400.00,94.00,6.70,5.00,81.40,449.33,135.06,211.58,43.00,41.60,24.20,17.18,92.41,2.90,7.50,6.75,-6.43,Cluster 0
225,FI1B,Helsinki-Uusimaa,FI,Northern Europe,62200.00,131.00,7.60,10.90,82.10,471.24,114.35,209.67,19.00,49.30,192.00,14.20,94.71,6.60,9.70,1.65,-11.23,Cluster 0
226,FI1C,Etelä-Suomi,FI,Northern Europe,42200.00,89.00,7.50,4.10,81.30,435.59,134.88,207.76,34.00,37.80,36.50,16.20,91.63,3.40,9.70,6.50,-5.85,Cluster 0
227,FI1D,Pohjois- ja Itä-Suomi,FI,Northern Europe,41500.00,88.00,6.90,4.60,81.20,423.76,161.97,201.24,42.00,38.00,6.20,16.00,91.78,1.50,1.70,6.41,-6.45,Cluster 0
228,FI20,Åland,FI,Northern Europe,53800.00,114.00,2.96,5.74,84.90,465.70,114.72,209.93,0.00,32.30,19.60,16.82,90.65,2.20,7.40,4.76,-7.27,Cluster 0
229,SE11,Stockholm,SE,Northern Europe,68700.00,151.00,6.90,11.10,84.20,519.53,61.16,191.99,14.00,58.80,375.10,15.00,96.99,8.00,6.40,1.79,-11.47,Cluster 0
230,SE12,Östra Mellansverige,SE,Northern Europe,43600.00,96.00,9.10,6.50,83.10,393.75,88.64,212.69,20.00,45.70,45.90,19.10,95.59,2.60,10.10,8.63,-6.37,Cluster 0
231,SE21,Småland med öarna,SE,Northern Europe,43100.00,95.00,6.90,3.60,83.50,476.66,102.67,198.25,26.00,42.70,26.60,17.80,93.14,2.90,5.90,7.49,-5.40,Cluster 0
232,SE22,Sydsverige,SE,Northern Europe,42700.00,94.00,9.40,5.90,82.90,464.38,81.82,212.74,22.00,50.00,113.40,22.80,92.71,5.30,26.40,9.45,-5.27,Cluster 0
233,SE23,Västsverige,SE,Northern Europe,50300.00,110.00,7.40,6.10,83.30,340.97,84.50,206.08,24.00,48.50,72.10,18.00,95.76,4.00,11.90,8.69,-6.91,Cluster 0
234,SE31,Norra Mellansverige,SE,Northern Europe,38700.00,85.00,7.30,2.70,82.70,549.84,90.28,206.92,25.00,40.50,13.50,22.30,96.10,2.00,1.40,7.25,-4.76,Cluster 0
235,SE32,Mellersta Norrland,SE,Northern Europe,43300.00,95.00,6.50,5.30,82.20,457.11,102.89,206.55,35.00,41.00,5.30,17.70,93.31,1.10,0.70,7.26,-6.40,Cluster 0
236,SE33,Övre Norrland,SE,Northern Europe,49800.00,109.00,5.70,5.60,82.20,340.97,105.65,200.70,34.00,47.00,3.50,14.30,95.56,0.70,0.30,7.76,-7.40,Cluster 0
